timestamp,value
01/04/2014 00:00,19.7612519
01/04/2014 00:05,20.50083329
01/04/2014 00:10,19.96164144
01/04/2014 00:15,21.49026607
01/04/2014 00:20,20.18773941
01/04/2014 00:25,19.92312567
01/04/2014 00:30,21.69840396
01/04/2014 00:35,20.87875838
01/04/2014 00:40,18.44619963
01/04/2014 00:45,18.71081784
01/04/2014 00:50,21.14849145
01/04/2014 00:55,21.34340528
01/04/2014 01:00,20.18076332
01/04/2014 01:05,20.21782091
01/04/2014 01:10,20.52773185
01/04/2014 01:15,19.7564631
01/04/2014 01:20,20.72079649
01/04/2014 01:25,18.43392503
01/04/2014 01:30,21.84511697
01/04/2014 01:35,21.0006193
01/04/2014 01:40,20.52469682
01/04/2014 01:45,19.26528823
01/04/2014 01:50,18.64382195
01/04/2014 01:55,19.63737186
01/04/2014 02:00,20.64630696
01/04/2014 02:05,20.53483897
01/04/2014 02:10,19.53056462
01/04/2014 02:15,20.45314558
01/04/2014 02:20,21.25499318
01/04/2014 02:25,18.10513909
01/04/2014 02:30,19.80248419
01/04/2014 02:35,21.03422091
01/04/2014 02:40,20.18457788
01/04/2014 02:45,20.60590435
01/04/2014 02:50,20.06670557
01/04/2014 02:55,21.96749818
01/04/2014 03:00,18.21848615
01/04/2014 03:05,19.96417929
01/04/2014 03:10,18.3656662
01/04/2014 03:15,18.63914225
01/04/2014 03:20,19.5321534
01/04/2014 03:25,18.62216037
01/04/2014 03:30,21.85474866
01/04/2014 03:35,21.78715911
01/04/2014 03:40,19.34443858
01/04/2014 03:45,20.55899085
01/04/2014 03:50,20.13501328
01/04/2014 03:55,21.26234792
01/04/2014 04:00,20.50978244
01/04/2014 04:05,18.00100982
01/04/2014 04:10,21.05269754
01/04/2014 04:15,20.98739249
01/04/2014 04:20,20.03889082
01/04/2014 04:25,21.61167589
01/04/2014 04:30,21.63378482
01/04/2014 04:35,20.09564671
01/04/2014 04:40,20.43195292
01/04/2014 04:45,21.98608829
01/04/2014 04:50,19.19528094
01/04/2014 04:55,19.29846897
01/04/2014 05:00,18.73109561
01/04/2014 05:05,21.58346776
01/04/2014 05:10,20.97795356
01/04/2014 05:15,18.4225714
01/04/2014 05:20,21.9270694
01/04/2014 05:25,20.92384683
01/04/2014 05:30,21.40208844
01/04/2014 05:35,18.19260316
01/04/2014 05:40,20.01984368
